Liquefied?,Vertical effective Stress (kPa),Site amax (g),Magnitude,Fines content (%),CPT qc (MPa)
No,51,0.4,6.6,15,7.53
Yes,71,0.39,6.6,5,5.95
Yes,29,0.43,6.6,1,3.34
No,25,0.37,6.6,1,9.2
Yes,54,0.28,6.6,1,6
Yes,94,0.31,6.6,5,7.2
Yes,60,0.27,6.6,1,5.99
Yes,84,0.42,6.6,5,7.51
No,72,0.41,6.6,5,7.91
Yes,41,0.44,6.6,5,3.6
Yes,22,0.44,6.6,5,3.61
Yes,56,0.26,6.6,5,3.98
No,51,0.27,6.6,5,3
No,80,0.26,6.6,5,13.62
Yes,57,0.27,6.6,10,4.3
No,49,0.09,6.22,64,1.4
No,54,0.133,6.22,30,5.33
No,49,0.2,6.54,64,1.4
No,39,0.18,6.54,18,6.4
Yes,54,0.206,6.54,30,5.33
No,43.1,0.25,5.9,15,4.26
No,53.1,0.25,5.9,15,4.91
Yes,63,0.25,5.9,15,2.76
No,72.8,0.25,5.9,15,5.71
No,82.6,0.25,5.9,15,6.51
No,92.4,0.25,5.9,15,7.77
No,102.2,0.25,5.9,15,7.77
Yes,47,0.28,6.93,1,4.75
Yes,50,0.28,6.93,1,9
No,63,0.28,6.93,1,16.3
Yes,38,0.28,6.93,2,7.7
Yes,24,0.28,6.93,4,3
No,43,0.28,6.93,4,10
Yes,60,0.28,6.93,4,9
No,78,0.28,6.93,1,19
No,37,0.28,6.93,4,8.7
No,32,0.28,6.93,4,10.4
No,73,0.28,6.93,1,18.2
No,47,0.28,6.93,1,15.5
No,59,0.28,6.93,1,13
No,73,0.28,6.93,1,9.2
No,48,0.28,6.93,4,12.4
No,44,0.28,6.93,4,8.77
Yes,31,0.28,6.93,4,2.5
No,38,0.28,6.93,4,10
Yes,53,0.28,6.93,15,6.2
Yes,53,0.28,6.93,15,4.3
Yes,67,0.28,6.93,10,4.1
Yes,60,0.28,6.93,10,4.9
Yes,36,0.28,6.93,5,6.6
Yes,26,0.28,6.93,5,3.1
Yes,28,0.28,6.93,15,3.1
Yes,37,0.28,6.93,3,5.1
Yes,43,0.28,6.93,3,7.8
Yes,120,0.28,6.93,30,4.6
Yes,87,0.28,6.93,30,4.3
Yes,89,0.28,6.93,30,4.3
Yes,107,0.28,6.93,27,3.8
Yes,52,0.28,6.93,3,8.2
Yes,73,0.28,6.93,3,1.9
Yes,47,0.26,6.93,23,1.8
Yes,45,0.26,6.93,5,2.1
Yes,97,0.36,6.93,27,3.57
Yes,100,0.36,6.93,13,7.8
Yes,99,0.36,6.93,25,4.73
No,102,0.36,6.93,20,6.8
Yes,111,0.36,6.93,4,11.07
Yes,116,0.36,6.93,7,9.4
Yes,105,0.36,6.93,11,7.75
No,67,0.22,6.93,12,3.45
Yes,43,0.22,6.93,11,2.47
Yes,59,0.22,6.93,10,4.5
No,53,0.22,6.93,12,6
Yes,58,0.22,6.93,9,5.2
Yes,39,0.22,6.93,24,2.5
Yes,73,0.21,6.93,10,4.2
Yes,93,0.21,6.93,5,8.5
Yes,72,0.22,6.93,4,7.8
No,79,0.38,6.93,9,7.73
Yes,91,0.38,6.93,18,5
Yes,128,0.4,6.93,12,7.6
No,115,0.4,6.93,15,14.4
Yes,124,0.13,6.93,13,4
No,86,0.13,6.93,30,3.8
No,58,0.26,6.93,15,4
No,43,0.26,6.93,42,2.17
Yes,113,0.34,6.93,18,4.4
Yes,112,0.33,6.93,13,5.13
Yes,79,0.38,6.93,18,5.6
Yes,38,0.47,6.93,15,4.8
No,57,0.13,6.93,14,3.6
No,52,0.13,6.93,10,4
No,120,0.12,6.93,7,4
No,123,0.12,6.93,9,5.6
Yes,59,0.24,6.93,4,6
No,102,0.24,6.93,10,10.5
Yes,84,0.28,6.93,3,5.5
Yes,70,0.18,6.93,52,1.9
Yes,84,0.28,6.93,8,5.2
Yes,95,0.28,6.93,12,8.1
Yes,59,0.16,6.93,20,4
No,84,0.24,7.1,5,16.75
No,63,0.24,7.1,3,9.75
No,88.5,0.24,7.1,2,19
No,67.2,0.24,7.1,4,13.94
No,78.9,0.24,7.1,3,18
No,100.1,0.24,7.1,4,13
Yes,59.1,0.24,7.1,5,3.35
Yes,83.6,0.24,7.1,21,0.75
Yes,81.8,0.24,7.1,3,1.2
No,117.1,0.24,7.1,6,5.5
Yes,36.4,0.14,7.1,22.5,1.3
Yes,39.5,0.14,7.1,22.5,1.5
No,51.8,0.14,7.1,22.5,2.5
Yes,66.2,0.16,7.1,57,1.7
Yes,66.2,0.16,7.1,57,1.9
Yes,66.2,0.16,7.1,57,1.5
Yes,87.1,0.29,7.1,7,4.7
Yes,100.6,0.29,7.1,12,10
Yes,100.6,0.29,7.1,13,9
Yes,100.6,0.29,7.1,13,5
Yes,100.6,0.29,7.1,13,9.4
Yes,91.2,0.29,7.1,2.5,11.7
Yes,82.4,0.29,7.1,3,8.7
Yes,84.6,0.29,7.1,5,6.5
No,113.3,0.29,7.1,2.5,4.545
Yes,73.6,0.29,7.1,2.5,4.545
Yes,78,0.29,7.1,2.5,1
Yes,50.5,0.27,7.1,10,4.545
Yes,50.5,0.27,7.1,10,4.545
Yes,50.5,0.27,7.1,10,5.3
Yes,50.5,0.3,7.1,10,6.1
Yes,46.1,0.3,7.1,15,4.545
Yes,147,0.84,6.69,50,7.6
